Confidence,Source,Frequency (arms#),Category,Target
0.347941567,Nephrolithiasis,753,Renal and urinary disorders,Death
0.34587899,Sepsis,2099,Infections and infestations,Death
0.345399698,Diarrhea,663,Gastrointestinal disorders,Death
0.345,Hypertension,1600,Vascular disorders,Death
0.340069686,Bronchitis,1435,Infections and infestations,Death
0.33451417,Dyspnoea,1976,"Respiratory, thoracic and mediastinal disorders",Death
0.333333333,Angina_pectoris,1257,Cardiac disorders,Death
0.33295325,Diarrhoea,1754,Gastrointestinal disorders,Death
0.331993569,Chronic_obstructive_pulmonary_disease,1244,"Respiratory, thoracic and mediastinal disorders",Death
0.33102253,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Death
0.327403846,Anaemia,2080,Blood and lymphatic system disorders,Death
0.326267281,Coronary_artery_disease,1085,Cardiac disorders,Death
0.326144135,Atrial_fibrillation,1901,Cardiac disorders,Death
0.326055313,Dyspnea,687,"Respiratory, thoracic and mediastinal disorders",Death
0.325601375,Headache,1164,Nervous system disorders,Death
0.323399558,Non-cardiac_chest_pain,906,General disorders,Death
0.323064113,Cholelithiasis,1201,Hepatobiliary disorders,Death
0.319253438,Syncope,2036,Nervous system disorders,Death
0.318303811,Urinary_tract_infection,1863,Infections and infestations,Death
0.316793893,Nausea,2096,Gastrointestinal disorders,Death
0.316086548,Osteoarthritis,1063,Musculoskeletal and connective tissue disorders,Death
0.31431706,Myocardial_infarction,1823,Cardiac disorders,Death
0.314243759,Intervertebral_disc_protrusion,681,Musculoskeletal and connective tissue disorders,Death
0.311440678,Dehydration,2832,Metabolism and nutrition disorders,Death
0.310209424,Breast_cancer,764,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Death
0.30982659,Chest_pain,1730,General disorders,Death
0.308366534,Depression,1255,Psychiatric disorders,Death
0.305860113,Vomiting,2645,Gastrointestinal disorders,Death
0.295681063,Neutropenia,1204,Blood and lymphatic system disorders,Death
0.292903875,Abdominal_pain,1987,Gastrointestinal disorders,Death
0.289264414,Cellulitis,2012,Infections and infestations,Death
0.283976732,Gastroenteritis,1891,Gastrointestinal disorders,Death
0.283687943,Febrile_neutropenia,1269,Blood and lymphatic system disorders,Death
0.280851064,Asthma,940,"Respiratory, thoracic and mediastinal disorders",Death
0.273565145,Pyrexia,2387,General disorders,Death
0.263772955,Appendicitis,1198,Infections and infestations,Death
0.225393494,Pneumonia,4765,Infections and infestations,Death
