Table 1,degree,source,Category,Frequency,target,Table 2, degree -ranage,source,Diversity,frequency,degree,source,target,degree,source,target
,,,,,,,,,,,0.525129983,[Hypertension  Pyrexia],[Death],0.686567164,[Pleural_effusion  Cerebrovascular_accident  Pyrexia],[Death]
,,,,,,,,,,,0.525043178,[Convulsion  Dehydration],[Death],0.686567164,[Cerebrovascular_accident  Hypotension  Anaemia],[Death]
,,,,,,,,,,,0.525,[Renal_failure  Abdominal_pain],[Death],0.686567164,[Chronic_obstructive_pulmonary_disease  Dyspnoea  Sepsis],[Death]
,,,,,,,,,,,0.524959742,[Deep_vein_thrombosis  Urinary_tract_infection],[Death],0.686520376,[Cerebrovascular_accident  Hypertension  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.524940618,[Arthralgia  Nausea],[Death],0.686440678,[Bronchitis  Atrial_fibrillation  Dehydration],[Death]
,,,,,,,,,,,0.524590164,[Dysphagia  Dehydration],[Death],0.686335404,[Cholelithiasis  Cellulitis  Dehydration],[Death]
,,,,,,,,,,,0.524566474,[Deep_vein_thrombosis  Anaemia],[Death],0.686335404,[Constipation  Pulmonary_embolism  Sepsis],[Death]
,,,,,,,,,,,0.524520256,[Depression  Vomiting],[Death],0.68627451,[Cardiac_failure  Chronic_obstructive_pulmonary_disease  Pneumonia],[Death]
,,,,,,,,,,,0.524484536,[Pulmonary_embolism  Sepsis],[Death],0.68627451,[Haematuria  Diarrhoea  Anaemia],[Death]
,,,,,,,,,,,0.524249423,[Non-cardiac_chest_pain  Syncope],[Death],0.68627451,[Fall  Pulmonary_embolism  Anaemia],[Death]
,,,,,,,,,,,0.524024024,[Pulmonary_embolism  Syncope],[Death],0.686153846,[Gastrointestinal_haemorrhage  Myocardial_infarction  Pyrexia],[Death]
,,,,,,,,,,,0.523809524,[Cholecystitis  Cellulitis],[Death],0.686084142,[Gastrointestinal_haemorrhage  Respiratory_failure  Diarrhoea],[Death]
,,,,,,,,,,,0.523722628,[Convulsion  Vomiting],[Death],0.686084142,[Back_pain  Chest_pain  Gastroenteritis],[Death]
,,,,,,,,,,,0.52371134,[Thrombocytopenia  Cellulitis],[Death],0.68597561,[Gastrointestinal_haemorrhage  Respiratory_failure  Pyrexia],[Death]
,,,,,,,,,,,0.523702032,[Acute_respiratory_failure  Pneumonia],[Death],0.685878963,[Acute_myocardial_infarction  Myocardial_infarction  Sepsis],[Death]
,,,,,,,,,,,0.523690773,[Osteomyelitis  Pneumonia],[Death],0.685800604,[Respiratory_failure  Angina_pectoris  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.523404255,[Infection  Pyrexia],[Death],0.685714286,[Gastrointestinal_haemorrhage  Back_pain  Diarrhoea],[Death]
,,,,,,,,,,,0.523364486,[Appendicitis  Gastroenteritis],[Death],0.685714286,[Cerebrovascular_accident  Diarrhoea  Syncope],[Death]
,,,,,,,,,,,0.522792023,[Renal_failure_acute  Pulmonary_embolism],[Death],0.685714286,[Cardiac_arrest  Deep_vein_thrombosis  Sepsis],[Death]
,,,,,,,,,,,0.522522523,[Arthralgia  Abdominal_pain],[Death],0.685714286,[Gastrointestinal_haemorrhage  Chest_pain  Myocardial_infarction],[Death]
,,,,,,,,,,,0.522441652,[Hypertension  Myocardial_infarction],[Death],0.685714286,[Back_pain  Pleural_effusion  Cellulitis],[Death]
,,,,,,,,,,,0.522058824,[Renal_failure  Sepsis],[Death],0.685714286,[Back_pain  Pleural_effusion  Renal_failure_acute],[Death]
,,,,,,,,,,,0.521861777,[Pulmonary_embolism  Myocardial_infarction],[Death],0.685628743,[Cardiac_failure  Hypertension  Pneumonia],[Death]
,,,,,,,,,,,0.521834061,[Coronary_artery_disease  Acute_myocardial_infarction],[Death],0.685552408,[Gastrointestinal_haemorrhage  Urinary_tract_infection  Syncope],[Death]
,,,,,,,,,,,0.521545319,[Hypotension  Dyspnoea],[Death],0.685534591,[Angina_pectoris  Gastroenteritis  Syncope],[Death]
,,,,,,,,,,,0.521444695,[Non-cardiac_chest_pain  Atrial_fibrillation],[Death],0.685483871,[Cardiac_failure  Myocardial_infarction  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.521226415,[Colitis  Dehydration],[Death],0.685358255,[Transient_ischaemic_attack  Renal_failure_acute  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.521201413,[Hypoglycaemia  Pneumonia],[Death],0.685358255,[Septic_shock  Respiratory_failure  Pyrexia],[Death]
,,,,,,,,,,,0.520958084,[Coronary_artery_disease  Angina_pectoris],[Death],0.685358255,[Gastrointestinal_haemorrhage  Angina_pectoris  Anaemia],[Death]
,,,,,,,,,,,0.520648968,[Myocardial_infarction  Syncope],[Death],0.685185185,[Respiratory_failure  Atrial_fibrillation  Pyrexia],[Death]
,,,,,,,,,,,0.520593081,[Convulsion  Pyrexia],[Death],0.685082873,[Gastrointestinal_haemorrhage  Pulmonary_embolism  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.520454545,[Headache  Urinary_tract_infection],[Death],0.685064935,[Dizziness  Back_pain  Syncope],[Death]
,,,,,,,,,,,0.520426288,[Hypertension  Cellulitis],[Death],0.685015291,[Asthenia  Bronchitis  Dehydration],[Death]
,,,,,,,,,,,0.520361991,[Pain  Dehydration],[Death],0.685015291,[Bronchitis  Hypotension  Dehydration],[Death]
,,,,,,,,,,,0.52016129,[Angina_unstable  Pneumonia],[Death],0.685015291,[Acute_myocardial_infarction  Atrial_fibrillation  Dehydration],[Death]
,,,,,,,,,,,0.519916143,[Headache  Sepsis],[Death],0.684971098,[Back_pain  Myocardial_infarction  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.519368723,[Myocardial_infarction  Urinary_tract_infection],[Death],0.684931507,[Myocardial_infarction  Syncope  Pyrexia],[Death]
,,,,,,,,,,,0.519345238,[Asthenia  Anaemia],[Death],0.68488746,[Diverticulitis  Gastroenteritis  Pneumonia],[Death]
,,,,,,,,,,,0.519266055,[Confusional_state  Pneumonia],[Death],0.684848485,[Cardiac_arrest  Abdominal_pain  Anaemia],[Death]
,,,,,,,,,,,0.518939394,[Femur_fracture  Pneumonia],[Death],0.684848485,[Angina_pectoris  Pulmonary_embolism  Anaemia],[Death]
,,,,,,,,,,,0.518907563,[Ileus  Dehydration],[Death],0.684782609,[Cardiac_failure  Acute_myocardial_infarction  Pneumonia],[Death]
,,,,,,,,,,,0.518867925,[Renal_failure  Pyrexia],[Death],0.684713376,[Fall  Chest_pain  Syncope],[Death]
,,,,,,,,,,,0.518828452,[Constipation  Dehydration],[Death],0.684713376,[Renal_failure  Deep_vein_thrombosis  Pleural_effusion],[Death]
,,,,,,,,,,,0.518613607,[Atrial_fibrillation  Sepsis],[Death],0.684713376,[Cholelithiasis  Cerebrovascular_accident  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.518575851,[Renal_failure_acute  Syncope],[Death],0.684659091,[Chronic_obstructive_pulmonary_disease  Urinary_tract_infection  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.518518519,[Coronary_artery_disease  Cellulitis],[Death],0.684615385,[Cardiac_arrest  Respiratory_failure  Pneumonia],[Death]
,,,,,,,,,,,0.518469657,[Cardiac_failure  Pneumonia],[Death],0.684542587,[Septic_shock  Cardiac_arrest  Pneumonia],[Death]
,,,,,,,,,,,0.518292683,[Asthenia  Diarrhoea],[Death],0.684542587,[Gastrointestinal_haemorrhage  Gastroenteritis  Pyrexia],[Death]
,,,,,,,,,,,0.51827957,[Osteoarthritis  Cellulitis],[Death],0.68452381,[Respiratory_failure  Atrial_fibrillation  Vomiting],[Death]
,,,,,,,,,,,0.518072289,[Asthenia  Abdominal_pain],[Death],0.68452381,[Back_pain  Pleural_effusion  Diarrhoea],[Death]
,,,,,,,,,,,0.517985612,[Renal_failure_acute  Atrial_fibrillation],[Death],0.684491979,[Myocardial_infarction  Gastroenteritis  Anaemia],[Death]
,,,,,,,,,,,0.517970402,[Arthralgia  Vomiting],[Death],0.684375,[Cholecystitis  Urinary_tract_infection  Anaemia],[Death]
,,,,,,,,,,,0.517970402,[Bradycardia  Pneumonia],[Death],0.684375,[Back_pain  Cerebrovascular_accident  Cellulitis],[Death]
,,,,,,,,,,,0.517948718,[Constipation  Pyrexia],[Death],0.684365782,[Deep_vein_thrombosis  Gastroenteritis  Dyspnoea],[Death]
,,,,,,,,,,,0.517902813,[Atrial_fibrillation  Syncope],[Death],0.684357542,[Pleural_effusion  Myocardial_infarction  Sepsis],[Death]
,,,,,,,,,,,0.517804154,[Deep_vein_thrombosis  Dehydration],[Death],0.684357542,[Respiratory_failure  Cerebrovascular_accident  Myocardial_infarction],[Death]
,,,,,,,,,,,0.517730496,[Renal_failure  Nausea],[Death],0.684210526,[Gastrointestinal_haemorrhage  Acute_myocardial_infarction  Pneumonia],[Death]
,,,,,,,,,,,0.516871166,[Renal_failure  Vomiting],[Death],0.684210526,[Renal_failure_acute  Hypertension  Sepsis],[Death]
,,,,,,,,,,,0.516358464,[Dizziness  Pneumonia],[Death],0.684210526,[Pleural_effusion  Gastroenteritis  Anaemia],[Death]
,,,,,,,,,,,0.51627907,[Myocardial_infarction  Abdominal_pain],[Death],0.684210526,[Gastrointestinal_haemorrhage  Renal_failure_acute  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.515970516,[Dysphagia  Vomiting],[Death],0.684073107,[Pulmonary_embolism  Gastroenteritis  Sepsis],[Death]
,,,,,,,,,,,0.515947467,[Fatigue  Diarrhoea],[Death],0.684065934,[Gastrointestinal_haemorrhage  Renal_failure  Sepsis],[Death]
,,,,,,,,,,,0.515695067,[Pain_in_extremity  Pneumonia],[Death],0.684057971,[Cardiac_arrest  Renal_failure_acute  Sepsis],[Death]
,,,,,,,,,,,0.514981273,[Cardiac_failure_congestive  Chest_pain],[Death],0.684057971,[Renal_failure  Chest_pain  Syncope],[Death]
,,,,,,,,,,,0.514935989,[Urinary_tract_infection  Syncope],[Death],0.68404908,[Chronic_obstructive_pulmonary_disease  Myocardial_infarction  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.514672686,[Fatigue  Hypertension],[Death],0.684039088,[Acute_myocardial_infarction  Diarrhoea  Anaemia],[Death]
,,,,,,,,,,,0.514649682,[Atrial_fibrillation  Dyspnoea],[Death],0.683937824,[Pleural_effusion  Syncope  Sepsis],[Death]
,,,,,,,,,,,0.514285714,[Syncope  Pyrexia],[Death],0.683908046,[Back_pain  Myocardial_infarction  Syncope],[Death]
,,,,,,,,,,,0.51421508,[Dyspnoea  Syncope],[Death],0.683890578,[Cerebrovascular_accident  Renal_failure_acute  Gastroenteritis],[Death]
,,,,,,,,,,,0.513957307,[Bronchitis  Urinary_tract_infection],[Death],0.683870968,[Transient_ischaemic_attack  Sepsis  Pyrexia],[Death]
,,,,,,,,,,,0.513937282,[Cardiac_failure_congestive  Cellulitis],[Death],0.683870968,[Chronic_obstructive_pulmonary_disease  Bronchitis  Syncope],[Death]
,,,,,,,,,,,0.512705531,[Pleural_effusion  Anaemia],[Death],0.683870968,[Asthenia  Hypertension  Dehydration],[Death]
,,,,,,,,,,,0.512658228,[Headache  Syncope],[Death],0.68373494,[Angina_pectoris  Cerebrovascular_accident  Renal_failure_acute],[Death]
,,,,,,,,,,,0.512195122,[Deep_vein_thrombosis  Chest_pain],[Death],0.68370607,[Hyponatraemia  Gastroenteritis  Pneumonia],[Death]
,,,,,,,,,,,0.512022631,[Renal_failure_acute  Urinary_tract_infection],[Death],0.68370607,[Bronchitis  Chest_pain  Diarrhoea],[Death]
,,,,,,,,,,,0.511930586,[Headache  Diarrhoea],[Death],0.683615819,[Cardiac_arrest  Sepsis  Pyrexia],[Death]
,,,,,,,,,,,0.511111111,[Coronary_artery_disease  Cardiac_failure_congestive],[Death],0.68358209,[Cardiac_failure  Urinary_tract_infection  Pyrexia],[Death]
,,,,,,,,,,,0.510855683,[Atrial_fibrillation  Anaemia],[Death],0.683544304,[Respiratory_failure  Gastroenteritis  Abdominal_pain],[Death]
,,,,,,,,,,,0.510743802,[Thrombocytopenia  Sepsis],[Death],0.683544304,[Angina_pectoris  Pulmonary_embolism  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.510433387,[Pneumothorax  Pneumonia],[Death],0.683544304,[Cardiac_failure  Dyspnoea  Cellulitis],[Death]
,,,,,,,,,,,0.51035503,[Chest_pain  Urinary_tract_infection],[Death],0.683473389,[Fall  Anaemia  Sepsis],[Death]
,,,,,,,,,,,0.510344828,[Thrombocytopenia  Pleural_effusion],[Death],0.683431953,[Renal_failure  Chest_pain  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.510318949,[Fatigue  Anaemia],[Death],0.683431953,[Bronchitis  Chest_pain  Sepsis],[Death]
,,,,,,,,,,,0.510115607,[Chest_pain  Anaemia],[Death],0.683431953,[Respiratory_failure  Syncope  Vomiting],[Death]
,,,,,,,,,,,0.509984639,[Renal_failure_acute  Cellulitis],[Death],0.68338558,[Back_pain  Bronchitis  Dyspnoea],[Death]
,,,,,,,,,,,0.50997151,[Asthenia  Dyspnoea],[Death],0.68338558,[Hyperglycaemia  Syncope  Pneumonia],[Death]
,,,,,,,,,,,0.509881423,[Hypotension  Sepsis],[Death],0.68338558,[Asthenia  Bronchitis  Diarrhoea],[Death]
,,,,,,,,,,,0.509687034,[Back_pain  Dehydration],[Death],0.68338558,[Fall  Diarrhoea  Sepsis],[Death]
,,,,,,,,,,,0.509641873,[Pleural_effusion  Dehydration],[Death],0.68338558,[Angina_pectoris  Gastroenteritis  Anaemia],[Death]
,,,,,,,,,,,0.50952381,[Bronchopneumonia  Gastroenteritis],[Death],0.68338558,[Cerebrovascular_accident  Bronchitis  Abdominal_pain],[Death]
,,,,,,,,,,,0.509466437,[Thrombocytopenia  Diarrhoea],[Death],0.68338558,[Gastrointestinal_haemorrhage  Deep_vein_thrombosis  Syncope],[Death]
,,,,,,,,,,,0.509375,[Acute_myocardial_infarction  Myocardial_infarction],[Death],0.683377309,[Respiratory_failure  Pulmonary_embolism  Myocardial_infarction],[Death]
,,,,,,,,,,,0.509302326,[Headache  Hypertension],[Death],0.683284457,[Cardiac_arrest  Dyspnoea  Abdominal_pain],[Death]
,,,,,,,,,,,0.509167842,[Cerebrovascular_accident  Myocardial_infarction],[Death],0.683229814,[Septic_shock  Renal_failure_acute  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.50887574,[Diarrhoea  Gastroenteritis],[Death],0.683229814,[Deep_vein_thrombosis  Myocardial_infarction  Gastroenteritis],[Death]
,,,,,,,,,,,0.508547009,[Headache  Anaemia],[Death],0.683229814,[Respiratory_failure  Hypotension  Syncope],[Death]
,,,,,,,,,,,0.508278146,[Hypertension  Nausea],[Death],0.683195592,[Acute_myocardial_infarction  Pulmonary_embolism  Myocardial_infarction],[Death]
,,,,,,,,,,,0.508100147,[Renal_failure_acute  Diarrhoea],[Death],0.683139535,[Angina_pectoris  Syncope  Sepsis],[Death]
,,,,,,,,,,,0.508064516,[Renal_failure_acute  Dyspnoea],[Death],0.683076923,[Cardiac_arrest  Abdominal_pain  Dehydration],[Death]
,,,,,,,,,,,0.507670851,[Pulmonary_embolism  Urinary_tract_infection],[Death],0.683076923,[Gastrointestinal_haemorrhage  Deep_vein_thrombosis  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.507575758,[Pulmonary_embolism  Cellulitis],[Death],0.683076923,[Septic_shock  Renal_failure  Sepsis],[Death]
,,,,,,,,,,,0.507462687,[Lobar_pneumonia  Pneumonia],[Death],0.683076923,[Acute_myocardial_infarction  Renal_failure_acute  Dyspnoea],[Death]
,,,,,,,,,,,0.50678733,[Deep_vein_thrombosis  Atrial_fibrillation],[Death],0.683076923,[Acute_myocardial_infarction  Chronic_obstructive_pulmonary_disease  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.506364922,[Chest_pain  Dehydration],[Death],0.682997118,[Bronchitis  Pulmonary_embolism  Abdominal_pain],[Death]
,,,,,,,,,,,0.506313131,[Atrial_fibrillation  Dehydration],[Death],0.682997118,[Renal_failure  Chronic_obstructive_pulmonary_disease  Pneumonia],[Death]
,,,,,,,,,,,0.506147541,[Prostate_cancer  Pneumonia],[Death],0.682926829,[Gastrointestinal_haemorrhage  Asthenia  Dyspnoea],[Death]
,,,,,,,,,,,0.505773672,[Headache  Cellulitis],[Death],0.682926829,[Chronic_obstructive_pulmonary_disease  Urinary_tract_infection  Anaemia],[Death]
,,,,,,,,,,,0.505576208,[Renal_failure_acute  Hypotension],[Death],0.682926829,[Septic_shock  Dyspnoea  Anaemia],[Death]
,,,,,,,,,,,0.505543237,[Inguinal_hernia  Pneumonia],[Death],0.682926829,[Asthenia  Renal_failure  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.505415162,[Coronary_artery_disease  Atrial_fibrillation],[Death],0.682857143,[Gastrointestinal_haemorrhage  Cellulitis  Syncope],[Death]
,,,,,,,,,,,0.505181347,[Pulmonary_embolism  Atrial_fibrillation],[Death],0.682857143,[Transient_ischaemic_attack  Syncope  Anaemia],[Death]
,,,,,,,,,,,0.504807692,[Hypoxia  Dyspnoea],[Death],0.682857143,[Pleural_effusion  Diarrhoea  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.504685408,[Hypertension  Dehydration],[Death],0.682857143,[Diarrhoea  Myocardial_infarction  Syncope],[Death]
,,,,,,,,,,,0.504491018,[Chest_pain  Pulmonary_embolism],[Death],0.682847896,[Renal_failure_acute  Hypertension  Syncope],[Death]
,,,,,,,,,,,0.504451039,[Septic_shock  Pneumonia],[Death],0.682847896,[Transient_ischaemic_attack  Cellulitis  Sepsis],[Death]
,,,,,,,,,,,0.504424779,[Fatigue  Dyspnoea],[Death],0.682779456,[Angina_pectoris  Pulmonary_embolism  Dyspnoea],[Death]
,,,,,,,,,,,0.504132231,[Lower_respiratory_tract_infection  Pneumonia],[Death],0.682692308,[Chronic_obstructive_pulmonary_disease  Sepsis  Pyrexia],[Death]
,,,,,,,,,,,0.504032258,[Hypoxia  Hypotension],[Death],0.682692308,[Asthenia  Atrial_fibrillation  Cellulitis],[Death]
,,,,,,,,,,,0.50388601,[Urinary_tract_infection  Dyspnoea],[Death],0.682692308,[Septic_shock  Renal_failure  Pyrexia],[Death]
,,,,,,,,,,,0.503787879,[Gastrointestinal_haemorrhage  Pneumonia],[Death],0.682692308,[Respiratory_failure  Chronic_obstructive_pulmonary_disease  Myocardial_infarction],[Death]
,,,,,,,,,,,0.503410641,[Pulmonary_embolism  Diarrhoea],[Death],0.682634731,[Deep_vein_thrombosis  Bronchitis  Syncope],[Death]
,,,,,,,,,,,0.502849003,[Pleural_effusion  Dyspnoea],[Death],0.68258427,[Deep_vein_thrombosis  Bronchitis  Anaemia],[Death]
,,,,,,,,,,,0.502392344,[Pulmonary_embolism  Anaemia],[Death],0.682539683,[Acute_myocardial_infarction  Chest_pain  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.50229709,[Cardiac_failure_congestive  Atrial_fibrillation],[Death],0.682539683,[Cholecystitis  Gastroenteritis  Cellulitis],[Death]
,,,,,,,,,,,0.502183406,[Deep_vein_thrombosis  Dyspnoea],[Death],0.682539683,[Cerebrovascular_accident  Hypotension  Myocardial_infarction],[Death]
,,,,,,,,,,,0.501718213,[Infection  Pneumonia],[Death],0.682492582,[Cardiac_failure_congestive  Pulmonary_embolism  Syncope],[Death]
,,,,,,,,,,,0.501416431,[Asthenia  Dehydration],[Death],0.682414698,[Cardiac_failure  Bronchitis  Pneumonia],[Death]
,,,,,,,,,,,0.501373626,[Atrial_fibrillation  Pyrexia],[Death],0.682389937,[Gastrointestinal_haemorrhage  Pleural_effusion  Diarrhoea],[Death]
,,,,,,,,,,,0.501118568,[Pain  Pneumonia],[Death],0.682389937,[Acute_myocardial_infarction  Bronchitis  Myocardial_infarction],[Death]
,,,,,,,,,,,0.5,[Bronchitis  Pyrexia],[Death],0.682389937,[Angina_pectoris  Cerebrovascular_accident  Dehydration],[Death]
,,,,,,,,,,,0.5,[Ileus  Vomiting],[Death],0.682389937,[Transient_ischaemic_attack  Renal_failure_acute  Syncope],[Death]
,,,,,,,,,,,0.5,[Thrombocytopenia  Fatigue],[Death],0.682389937,[Hypertension  Pulmonary_embolism  Urinary_tract_infection],[Death]
,,,,,,,,,,,0.5,[Diarrhoea  Cellulitis],[Death],0.682389937,[Transient_ischaemic_attack  Dyspnoea  Pyrexia],[Death]
,,,,,,,,,,,0.499280576,[Hypertension  Vomiting],[Death],0.682352941,[Angina_pectoris  Urinary_tract_infection  Dehydration],[Death]
,,,,,,,,,,,0.499153976,[Deep_vein_thrombosis  Cellulitis],[Death],0.682242991,[Haematuria  Renal_failure_acute  Pneumonia],[Death]
,,,,,,,,,,,0.498839907,[Diarrhoea  Sepsis],[Death],0.682215743,[Haematuria  Sepsis  Pneumonia],[Death]
,,,,,,,,,,,0.498677249,[Renal_failure_acute  Sepsis],[Death],0.682215743,[Cholecystitis  Dyspnoea  Sepsis],[Death]
,,,,,,,,,,,0.498559078,[Deep_vein_thrombosis  Pyrexia],[Death],0.682080925,[Pleural_effusion  Cerebrovascular_accident  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.4984375,[Back_pain  Pyrexia],[Death],0.682080925,[Gastrointestinal_haemorrhage  Back_pain  Anaemia],[Death]
,,,,,,,,,,,0.498269896,[Hypoxia  Dehydration],[Death],0.682065217,[Gastrointestinal_haemorrhage  Renal_failure  Anaemia],[Death]
,,,,,,,,,,,0.497925311,[Osteoarthritis  Atrial_fibrillation],[Death],0.681957187,[Hypokalaemia  Dyspnoea  Sepsis],[Death]
,,,,,,,,,,,0.497723824,[Angina_pectoris  Myocardial_infarction],[Death],0.681818182,[Cerebrovascular_accident  Bronchitis  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.497568882,[Gastroenteritis  Abdominal_pain],[Death],0.681818182,[Convulsion  Pulmonary_embolism  Anaemia],[Death]
,,,,,,,,,,,0.497560976,[Pulmonary_embolism  Dyspnoea],[Death],0.681818182,[Respiratory_failure  Pulmonary_embolism  Cellulitis],[Death]
,,,,,,,,,,,0.497354497,[Cellulitis  Syncope],[Death],0.681697613,[Back_pain  Syncope  Sepsis],[Death]
,,,,,,,,,,,0.496984318,[Cellulitis  Sepsis],[Death],0.681690141,[Pulmonary_embolism  Gastroenteritis  Atrial_fibrillation],[Death]
,,,,,,,,,,,0.496886675,[Urinary_tract_infection  Anaemia],[Death],0.681672026,[Convulsion  Syncope  Pyrexia],[Death]
,,,,,,,,,,,0.496580027,[Asthenia  Pyrexia],[Death],0.681672026,[Infection  Dyspnoea  Sepsis],[Death]
,,,,,,,,,,,0.495890411,[Cerebrovascular_accident  Atrial_fibrillation],[Death],0.681672026,[Cardiac_failure_congestive  Gastroenteritis  Syncope],[Death]
,,,,,,,,,,,0.495762712,[Pain  Vomiting],[Death],0.681564246,[Cardiac_failure  Pleural_effusion  Pneumonia],[Death]
,,,,,,,,,,,0.495201536,[Intestinal_obstruction  Pneumonia],[Death],0.681547619,[Cerebrovascular_accident  Gastroenteritis  Abdominal_pain],[Death]
,,,,,,,,,,,0.494565217,[Fatigue  Hypotension],[Death],0.681547619,[Asthenia  Renal_failure  Renal_failure_acute],[Death]
,,,,,,,,,,,0.494553377,[Dyspnoea  Sepsis],[Death],0.681547619,[Back_pain  Diarrhoea  Syncope],[Death]
,,,,,,,,,,,0.494366197,[Atrial_fibrillation  Cellulitis],[Death],0.681528662,[Depression  Sepsis  Dehydration],[Death]
,,,,,,,,,,,0.493920973,[Chest_pain  Pyrexia],[Death],0.681528662,[Back_pain  Deep_vein_thrombosis  Pleural_effusion],[Death]
,,,,,,,,,,,0.49391069,[Chest_pain  Dyspnoea],[Death],0.681528662,[Transient_ischaemic_attack  Anaemia  Dehydration],[Death]
,,,,,,,,,,,0.493860846,[Atrial_fibrillation  Abdominal_pain],[Death],0.681415929,[Gastrointestinal_haemorrhage  Pleural_effusion  Pulmonary_embolism],[Death]
,,,,,,,,,,,0.493617021,[Hip_fracture  Pneumonia],[Death],0.681415929,[Bronchitis  Atrial_fibrillation  Pyrexia],[Death]
,,,,,,,,,,,0.493315508,[Chest_pain  Atrial_fibrillation],[Death],0.681388013,[Back_pain  Bronchitis  Abdominal_pain],[Death]
,,,,,,,,,,,0.493273543,[Gastroenteritis  Vomiting],[Death],0.681318681,[Cardiac_arrest  Hypotension  Pneumonia],[Death]
,,,,,,,,,,,0.492788462,[Syncope  Anaemia],[Death],0.68128655,[Respiratory_failure  Gastroenteritis  Sepsis],[Death]
,,,,,,,,,,,0.492401216,[Deep_vein_thrombosis  Abdominal_pain],[Death],0.68125,[Fall  Pleural_effusion  Pneumonia],[Death]
,,,,,,,,,,,0.492063492,[Hypotension  Abdominal_pain],[Death],0.68125,[Acute_myocardial_infarction  Cerebrovascular_accident  Chest_pain],[Death]
,,,,,,,,,,,0.492044064,[Renal_failure_acute  Anaemia],[Death],0.68125,[Gastrointestinal_haemorrhage  Cardiac_failure_congestive  Syncope],[Death]
,,,,,,,,,,,0.491758242,[Hypotension  Syncope],[Death],0.68125,[Dizziness  Renal_failure  Pneumonia],[Death]
,,,,,,,,,,,0.49127907,[Hypotension  Pyrexia],[Death],0.681192661,[Cardiac_failure  Pulmonary_embolism  Pneumonia],[Death]
,,,,,,,,,,,0.49117175,[Cardiac_failure_congestive  Myocardial_infarction],[Death],0.68115942,[Cerebrovascular_accident  Gastroenteritis  Dehydration],[Death]
,,,,,,,,,,,0.491143317,[Thrombocytopenia  Dyspnoea],[Death],0.68115942,[Renal_failure_acute  Myocardial_infarction  Gastroenteritis],[Death]
,,,,,,,,,,,0.49112426,[Angina_pectoris  Atrial_fibrillation],[Death],0.68115942,[Hypertension  Diarrhoea  Syncope],[Death]
,,,,,,,,,,,0.491007194,[Deep_vein_thrombosis  Nausea],[Death],0.68115942,[Cardiac_failure  Urinary_tract_infection  Sepsis],[Death]
,,,,,,,,,,,0.490727532,[Asthenia  Vomiting],[Death],0.68115942,[Pleural_effusion  Cerebrovascular_accident  Dehydration],[Death]
,,,,,,,,,,,0.489913545,[Constipation  Nausea],[Death],0.681114551,[Cholecystitis  Diarrhoea  Sepsis],[Death]
,,,,,,,,,,,0.489361702,[Gastroenteritis  Cellulitis],[Death],0.681114551,[Asthenia  Deep_vein_thrombosis  Renal_failure_acute],[Death]
,,,,,,,,,,,0.488812392,[Headache  Dehydration],[Death],0.681034483,[Gastrointestinal_haemorrhage  Pleural_effusion  Sepsis],[Death]
,,,,,,,,,,,0.488783943,[Asthenia  Pneumonia],[Death],0.681034483,[Hypertension  Gastroenteritis  Syncope],[Death]
,,,,,,,,,,,0.488738739,[Non-cardiac_chest_pain  Myocardial_infarction],[Death],0.680981595,[Renal_failure  Chest_pain  Diarrhoea],[Death]
,,,,,,,,,,,0.488505747,[Atrial_fibrillation  Vomiting],[Death],0.680911681,[Fall  Syncope  Anaemia],[Death]
,,,,,,,,,,,0.48824343,[Chest_pain  Myocardial_infarction],[Death],0.680911681,[Bronchitis  Hypotension  Sepsis],[Death]
,,,,,,,,,,,0.487864078,[Myocardial_infarction  Atrial_fibrillation],[Death],0.680904523,[Gastrointestinal_haemorrhage  Pulmonary_embolism  Sepsis],[Death]
,,,,,,,,,,,0.487725041,[Atrial_fibrillation  Nausea],[Death],0.680851064,[Transient_ischaemic_attack  Urinary_tract_infection  Syncope],[Death]
,,,,,,,,,,,0.4875,[Pleural_effusion  Nausea],[Death],0.68079096,[Bronchitis  Myocardial_infarction  Syncope],[Death]
,,,,,,,,,,,0.487483531,[Constipation  Vomiting],[Death],0.680722892,[Acute_myocardial_infarction  Anaemia  Pyrexia],[Death]
,,,,,,,,,,,0.487046632,[Constipation  Abdominal_pain],[Death],0.680722892,[Acute_myocardial_infarction  Myocardial_infarction  Dehydration],[Death]
