Index,Confidence,Triple disease,Frequency (arms#),Target,type
69,0.752542373,[Renal_failure  Gastroenteritis  Syncope],295,[Death],undirected
70,0.75170068,[Gastrointestinal_haemorrhage  Myocardial_infarction  Gastroenteritis],294,[Death],undirected
71,0.75170068,[Cardiac_failure  Syncope  Dehydration],294,[Death],undirected
72,0.75088968,[Cardiac_failure  Gastroenteritis  Syncope],281,[Death],undirected
73,0.75088968,[Cardiac_failure  Bronchitis  Myocardial_infarction],281,[Death],undirected
74,0.750853242,[Cardiac_failure  Deep_vein_thrombosis  Anaemia],293,[Death],undirected
75,0.75,[Cardiac_failure  Diarrhoea  Atrial_fibrillation],288,[Death],undirected
76,0.748322148,[Cardiac_failure  Deep_vein_thrombosis  Pulmonary_embolism],298,[Death],undirected
77,0.74829932,[Renal_failure  Pulmonary_embolism  Gastroenteritis],294,[Death],undirected
78,0.748251748,[Dizziness  Gastroenteritis  Sepsis],286,[Death],undirected
79,0.74822695,[Cardiac_failure  Acute_myocardial_infarction  Syncope],282,[Death],undirected
80,0.74822695,[Cardiac_failure  Pulmonary_embolism  Diarrhoea],282,[Death],undirected
81,0.747440273,[Renal_failure  Bronchitis  Pulmonary_embolism],293,[Death],undirected
82,0.747368421,[Gastrointestinal_haemorrhage  Back_pain  Myocardial_infarction],285,[Death],undirected
83,0.747368421,[Transient_ischaemic_attack  Cardiac_failure  Atrial_fibrillation],285,[Death],undirected
84,0.747368421,[Septic_shock  Urinary_tract_infection  Syncope],285,[Death],undirected
85,0.747330961,[Osteoarthritis  Syncope  Sepsis],281,[Death],undirected
86,0.747330961,[Renal_failure  Chronic_obstructive_pulmonary_disease  Dyspnoea],281,[Death],undirected
87,0.746575342,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Gastroenteritis],292,[Death],undirected
88,0.746575342,[Cardiac_failure  Deep_vein_thrombosis  Sepsis],292,[Death],undirected
89,0.746575342,[Cardiac_failure  Respiratory_failure  Renal_failure_acute],292,[Death],undirected
90,0.745928339,[Cardiac_arrest  Respiratory_failure  Dyspnoea],307,[Death],undirected
91,0.745874587,[Respiratory_failure  Bronchitis  Pulmonary_embolism],303,[Death],undirected
92,0.744897959,[Asthenia  Respiratory_failure  Atrial_fibrillation],294,[Death],undirected
93,0.744827586,[Cardiac_failure  Back_pain  Atrial_fibrillation],290,[Death],undirected
94,0.744827586,[Cardiac_failure  Respiratory_failure  Myocardial_infarction],290,[Death],undirected
95,0.744755245,[Cardiac_failure  Bronchitis  Syncope],286,[Death],undirected
96,0.744755245,[Cardiac_arrest  Gastrointestinal_haemorrhage  Myocardial_infarction],286,[Death],undirected
97,0.744680851,[Cardiac_arrest  Myocardial_infarction  Gastroenteritis],282,[Death],undirected
98,0.744680851,[Respiratory_failure  Cerebrovascular_accident  Bronchitis],282,[Death],undirected
99,0.744107744,[Cardiac_arrest  Syncope  Pyrexia],297,[Death],undirected
100,0.744107744,[Cardiac_failure  Gastrointestinal_haemorrhage  Sepsis],297,[Death],undirected
101,0.744027304,[Asthenia  Respiratory_failure  Syncope],293,[Death],undirected
102,0.743944637,[Back_pain  Myocardial_infarction  Gastroenteritis],289,[Death],undirected
103,0.743944637,[Gastrointestinal_haemorrhage  Pleural_effusion  Myocardial_infarction],289,[Death],undirected
104,0.743902439,[Cardiac_arrest  Syncope  Sepsis],328,[Death],undirected
105,0.743670886,[Cardiac_arrest  Dyspnoea  Syncope],316,[Death],undirected
106,0.743243243,[Cardiac_arrest  Renal_failure  Dyspnoea],296,[Death],undirected
